Date,Close/Last,Volume,Open,High,Low
12/23/2021,$183.78,167889,$183.08,$184.31,$182.91
12/22/2021,$181.36,165857,$180.06,$181.55,$180.06
12/21/2021,$182.82,180088,$182.80,$183.73,$182.09
12/20/2021,$181.95,251538,$181.56,$182.19,$180.1057
12/17/2021,$184.04,382609,$185.59,$185.7398,$183.90
12/16/2021,$187.34,384500,$187.87,$188.95,$187.135
12/15/2021,$186.75,479134,$185.51,$187.00,$184.37
12/14/2021,$180.78,440491,$181.00,$182.4134,$179.215
12/13/2021,$176.12,583773,$177.17,$177.5163,$175.665
12/10/2021,$182.35,125531,$182.04,$182.35,$180.5908
12/09/2021,$180.77,186586,$181.00,$181.22,$180.00
12/08/2021,$182.48,265535,$183.45,$183.50,$181.81
12/07/2021,$187.44,245085,$186.52,$187.90,$185.90
12/06/2021,$184.59,189631,$183.25,$185.01,$182.3901
12/03/2021,$182.46,193967,$183.68,$184.40,$181.45
12/02/2021,$183.16,238246,$179.66,$183.62,$179.4161
12/01/2021,$178.29,246719,$180.80,$182.78,$178.25
11/30/2021,$177.85,331260,$178.03,$178.33,$175.67
11/29/2021,$177.47,222099,$178.71,$179.0329,$177.02
11/26/2021,$179.83,171374,$180.74,$181.15,$178.79
11/24/2021,$184.81,255467,$184.90,$185.12,$183.51
11/23/2021,$185.06,183157,$185.09,$185.58,$184.18
11/22/2021,$185.09,264220,$186.12,$186.435,$184.555
11/19/2021,$185.96,197419,$185.36,$186.30,$185.26
11/18/2021,$184.65,271808,$186.15,$186.15,$183.86
11/17/2021,$186.21,204316,$186.00,$186.543,$184.73
11/16/2021,$187.43,228668,$187.00,$188.18,$186.90
11/15/2021,$184.39,177072,$185.02,$185.4596,$184.34
11/12/2021,$184.40,291149,$181.90,$184.75,$181.501
11/11/2021,$179.03,122655,$178.47,$179.33,$178.19
11/10/2021,$177.36,202987,$177.45,$179.29,$176.72
11/09/2021,$176.32,222484,$178.25,$178.50,$175.64
11/08/2021,$180.48,204355,$179.52,$180.56,$179.15
11/05/2021,$179.28,176536,$180.91,$181.18,$178.50
11/04/2021,$181.48,171347,$182.00,$182.84,$180.60
11/03/2021,$181.07,163023,$179.90,$181.36,$179.19
11/02/2021,$179.61,166516,$180.00,$180.00,$177.74
11/01/2021,$179.98,219128,$178.13,$179.98,$178.13
10/29/2021,$176.57,164979,$176.20,$176.69,$175.62
10/28/2021,$176.48,181415,$175.29,$176.48,$175.29
10/27/2021,$174.09,205551,$174.81,$175.29,$174.01
10/26/2021,$173.20,145599,$173.63,$174.785,$172.81
10/25/2021,$172.23,247097,$172.81,$172.81,$171.88
10/22/2021,$173.40,206710,$175.00,$175.34,$172.78
10/21/2021,$174.02,218753,$174.00,$175.20,$173.80
10/20/2021,$177.75,160995,$178.67,$178.67,$177.02
10/19/2021,$178.67,197830,$178.81,$178.85,$178.09
10/18/2021,$178.55,207297,$178.00,$179.00,$177.78
10/15/2021,$176.27,203797,$175.51,$176.45,$174.79
10/14/2021,$175.51,157810,$174.60,$175.59,$174.48
10/13/2021,$175.77,325571,$175.95,$176.49,$174.66
10/12/2021,$177.13,250758,$176.87,$177.57,$175.6866
10/11/2021,$175.15,209061,$175.38,$176.85,$174.87
10/08/2021,$171.97,153400,$171.41,$172.46,$171.1816
10/07/2021,$169.47,212844,$169.10,$170.00,$168.55
10/06/2021,$166.97,462649,$166.54,$167.47,$165.33
10/05/2021,$172.14,184904,$171.90,$172.94,$171.10
10/04/2021,$171.81,381726,$175.16,$175.54,$171.17
10/01/2021,$177.62,241884,$178.11,$178.26,$176.42
09/30/2021,$177.75,403393,$180.68,$181.54,$177.75
09/29/2021,$185.45,238637,$185.13,$187.45,$183.78
09/28/2021,$184.85,197707,$186.09,$186.40,$184.15
09/27/2021,$186.52,221680,$185.08,$186.86,$185.01
09/24/2021,$182.57,128669,$182.68,$183.23,$182.0001
09/23/2021,$182.79,206222,$181.92,$182.9875,$181.53
09/22/2021,$181.59,248604,$181.70,$182.89,$180.75
09/21/2021,$181.90,295574,$180.40,$182.42,$180.31
09/20/2021,$176.71,363482,$178.67,$178.67,$175.05
09/17/2021,$180.95,155106,$181.51,$181.75,$180.56
09/16/2021,$181.94,161585,$181.07,$182.31,$180.51
09/15/2021,$181.71,257944,$179.93,$181.89,$179.84
09/14/2021,$179.39,175879,$180.22,$180.88,$178.6636
09/13/2021,$178.46,173803,$177.47,$178.57,$177.28
09/10/2021,$176.30,278253,$180.03,$180.40,$176.12
09/09/2021,$180.07,173368,$179.54,$180.94,$179.54
09/08/2021,$180.00,219881,$181.50,$181.50,$179.18
09/07/2021,$181.64,224324,$181.00,$181.74,$180.66
09/03/2021,$179.27,279465,$177.43,$179.28,$176.83
09/02/2021,$176.24,198914,$176.31,$176.86,$175.471
09/01/2021,$176.21,204091,$175.05,$176.97,$175.02
08/31/2021,$174.23,184378,$173.61,$175.01,$173.61
08/30/2021,$172.86,134458,$173.73,$173.73,$172.48
08/27/2021,$173.88,140322,$172.04,$173.945,$171.9494
08/26/2021,$171.59,175370,$173.52,$173.78,$171.09
08/25/2021,$173.75,263350,$172.40,$174.11,$172.08
08/24/2021,$171.02,308156,$169.80,$171.58,$169.5756
08/23/2021,$168.74,329944,$166.87,$168.9683,$166.28
08/20/2021,$164.66,448104,$165.68,$165.75,$163.91
08/19/2021,$168.55,650591,$170.15,$171.4094,$167.75
08/18/2021,$175.73,227310,$177.50,$177.98,$175.53
08/17/2021,$178.17,213939,$179.55,$179.55,$177.56
08/16/2021,$180.60,129820,$179.57,$180.69,$177.81
08/13/2021,$181.34,93107,$181.23,$181.37,$180.80
08/12/2021,$180.94,105567,$181.01,$181.11,$180.1965
08/11/2021,$181.38,133389,$181.14,$181.47,$180.40
08/10/2021,$179.90,220382,$179.55,$180.115,$178.235
08/09/2021,$180.57,163329,$181.12,$181.4113,$180.25
08/06/2021,$180.72,183434,$181.14,$181.51,$180.0416
08/05/2021,$182.86,128883,$182.52,$183.48,$182.09
08/04/2021,$182.18,194571,$182.70,$183.7499,$181.22
08/03/2021,$185.95,247020,$183.52,$185.99,$183.06
08/02/2021,$181.88,167578,$182.00,$182.75,$181.14
07/30/2021,$179.84,147223,$180.61,$181.077,$179.57
07/29/2021,$181.42,157370,$180.84,$181.86,$180.49
07/28/2021,$179.87,143560,$178.44,$180.24,$178.29
07/27/2021,$178.44,152679,$179.06,$179.06,$177.71
07/26/2021,$179.50,155669,$179.23,$179.78,$178.84
07/23/2021,$179.85,195868,$179.14,$180.44,$178.66
07/22/2021,$177.99,321205,$179.99,$180.19,$177.94
07/21/2021,$179.68,183208,$178.18,$179.93,$178.18
07/20/2021,$178.12,151991,$176.14,$178.37,$175.79
07/19/2021,$176.30,261143,$176.68,$176.99,$174.03
07/16/2021,$178.13,195761,$179.28,$179.28,$177.38
07/15/2021,$178.93,177845,$178.71,$179.33,$178.2601
07/14/2021,$180.00,230670,$180.37,$180.99,$179.56
07/13/2021,$179.18,281948,$178.99,$179.46,$178.335
07/12/2021,$178.90,176030,$177.79,$179.41,$177.04
07/09/2021,$177.79,320747,$177.66,$178.73,$177.65
07/08/2021,$174.23,189458,$173.17,$174.63,$173.05
07/07/2021,$175.65,128254,$175.77,$175.87,$174.57
07/06/2021,$174.93,288134,$176.07,$176.47,$173.40
07/02/2021,$176.03,210326,$176.39,$176.84,$175.84
07/01/2021,$175.48,181616,$174.71,$175.58,$174.35
06/30/2021,$174.84,313217,$175.48,$176.25,$174.62
06/29/2021,$176.73,166960,$176.40,$177.37,$176.40
06/28/2021,$177.07,209164,$177.65,$177.80,$176.76
06/25/2021,$178.10,156089,$177.99,$178.80,$177.79
06/24/2021,$177.67,164822,$178.38,$178.38,$177.55
06/23/2021,$177.71,611533,$176.37,$178.25,$176.14
06/22/2021,$179.39,237921,$180.06,$180.06,$178.8309
06/21/2021,$178.88,284444,$177.00,$179.41,$176.50
06/18/2021,$177.03,735008,$177.89,$178.38,$176.31
06/17/2021,$185.20,277369,$185.00,$185.375,$184.00
06/16/2021,$183.84,326164,$183.93,$184.88,$183.10
06/15/2021,$182.45,180935,$182.50,$182.78,$181.675
06/14/2021,$180.59,189948,$181.00,$181.00,$179.4801
06/11/2021,$181.47,164567,$180.74,$181.47,$180.51
06/10/2021,$180.18,194494,$180.59,$180.76,$179.82
06/09/2021,$180.54,207474,$180.03,$180.80,$179.865
06/08/2021,$179.61,307131,$180.91,$181.00,$179.39
06/07/2021,$180.80,384408,$182.03,$182.25,$180.11
06/04/2021,$182.41,386890,$181.68,$182.66,$181.01
06/03/2021,$179.67,478773,$177.30,$180.12,$177.03
06/02/2021,$176.63,630391,$175.75,$176.84,$175.49
06/01/2021,$172.34,596568,$171.47,$172.75,$171.03
05/28/2021,$165.98,160049,$166.29,$166.7802,$165.71
05/27/2021,$165.55,248648,$165.00,$166.47,$164.91
05/26/2021,$164.02,231951,$162.83,$164.42,$162.78
05/25/2021,$162.24,199644,$163.00,$163.80,$161.63
05/24/2021,$162.78,236431,$162.18,$162.98,$162.1401
05/21/2021,$161.16,211200,$161.00,$161.305,$160.39
05/20/2021,$160.22,209609,$159.32,$160.58,$159.21
05/19/2021,$159.29,250192,$158.63,$159.55,$158.1159
05/18/2021,$160.66,322577,$160.46,$161.91,$160.32
05/17/2021,$158.68,436193,$157.70,$159.00,$157.43
05/14/2021,$155.85,315551,$156.00,$156.50,$155.66
